iyear,imonth,iday,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,gname,individual,weaptype1,nkill,property,ishostkid
1970,1,1,0,217,1,Illinois,Cairo,37.005105,-89.176269,1.0,0,0.0,1,0,2,3,Cairo Police Headquarters,217.0,Black Nationalists,0,5,0.0,1,0.0
1970,1,2,0,218,3,Montevideo,Montevideo,-34.891151,-56.187214,1.0,0,0.0,0,0,1,3,Juan Maria de Lucah/Chief of Directorate of info. and intell.,218.0,Tupamaros (Uruguay),0,5,0.0,0,0.0
1970,1,2,0,217,1,Wisconsin,Madison,43.076592,-89.412488,1.0,0,0.0,1,0,7,4,"R.O.T.C. offices at University of Wisconsin, Madison",217.0,New Year's Gang,0,8,0.0,1,0.0
1970,1,3,0,217,1,Wisconsin,Madison,43.07295,-89.386694,1.0,0,0.0,1,0,7,2,Selective Service Headquarters in Madison Wisconsin,217.0,New Year's Gang,0,8,0.0,1,0.0
1970,1,1,0,217,1,Wisconsin,Baraboo,43.4685,-89.744299,1.0,0,0.0,0,0,3,4,Badger Army ammo depot.,217.0,"Weather Underground, Weathermen",0,6,0.0,0,0.0
1970,1,6,0,217,1,Colorado,Denver,39.758968,-104.876305,1.0,0,0.0,1,0,7,4,"Army Recruiting Station, Denver Colorado",217.0,Left-Wing Militants,0,8,0.0,1,0.0
1970,1,9,0,217,1,Michigan,Detroit,42.331685,-83.047924,1.0,0,0.0,1,0,7,2,Packard Properties building of Detroit Michigan,217.0,Left-Wing Militants,0,8,0.0,1,0.0
1970,1,9,0,217,1,Puerto Rico,Rio Piedras,18.386932,-66.061127,1.0,0,0.0,1,0,7,1,Baker's Store,217.0,Armed Commandos of Liberation,0,8,0.0,1,0.0
1970,1,10,0,499,9,Berlin,Berlin,52.50153,13.401851,1.0,0,0.0,1,0,3,2,Jurists Ball (Palais au Frankturm),75.0,Commune 1,0,6,1.0,0,0.0
1970,1,12,0,217,1,New York,New York City,40.697132,-73.931351,1.0,0,0.0,1,0,3,8,James Madison High School,217.0,Black Nationalists,0,6,0.0,1,0.0
1970,1,12,0,217,1,Puerto Rico,Rio Grande,18.379998,-65.830948,1.0,0,0.0,1,0,3,1,General Electric factory in Rio Grande Puerto Rico,217.0,Strikers,0,6,0.0,-9,0.0
1970,1,13,0,217,1,Washington,Seattle,47.610786,-122.331306,1.0,0,0.0,1,0,7,1,"Fuson's Department Store, Seattle Washington",217.0,Black Nationalists,0,8,0.0,1,0.0
1970,1,14,0,217,1,Illinois,Champaign,40.116748,-88.23927,1.0,0,0.0,1,0,7,3,Champaign Police Department,217.0,Black Nationalists,0,8,0.0,1,0.0
1970,1,15,0,218,3,Montevideo,Montevideo,-34.891151,-56.187214,1.0,0,0.0,1,0,2,8,"Secondary School, Chemistry Lab",218.0,Tupamaros (Uruguay),0,5,0.0,1,0.0
1970,1,19,0,217,1,Washington,Seattle,47.610786,-122.331306,1.0,0,0.0,1,0,3,8,"Liberal Arts and Garrand buildings, Seattle University",217.0,Black Nationalists,0,6,0.0,1,0.0
1970,1,19,0,217,1,Washington,Seattle,47.610786,-122.331306,1.0,0,0.0,0,0,3,4,Air Force R.O.T.C. at the University of Washington,217.0,Student Radicals,0,6,0.0,0,0.0
1970,1,19,0,217,1,New Jersey,Jersey City,40.717892,-74.067467,1.0,0,0.0,1,0,7,22,Headquarters,217.0,White extremists,0,8,0.0,1,0.0
1970,1,25,0,217,1,Mississippi,West Point,33.60651,-88.650419,1.0,0,0.0,1,0,7,14,Building used as a meeting place for African Americans.,217.0,White extremists,0,8,0.0,1,0.0
1970,1,25,0,217,1,New York,New York City,40.697132,-73.931351,1.0,0,0.0,1,0,2,3,New York Police Officers responding to a call in Harlem,217.0,Black Nationalists,0,5,0.0,1,0.0
1970,1,26,0,217,1,Mississippi,West Point,33.60651,-88.650419,1.0,0,0.0,1,0,3,2,Clay County Courthouse,217.0,Black Nationalists,0,6,0.0,1,0.0
1970,1,26,0,217,1,New York,New York City,40.697132,-73.931351,1.0,0,0.0,1,0,2,3,New York Police Officer on patrol in Forest Hills,217.0,Black Nationalists,0,5,0.0,0,0.0
1970,1,27,0,217,1,Ohio,Norwalk,41.241996,-82.615241,1.0,0,0.0,1,0,7,2,Selective Service office in Norwalk Ohio,217.0,Left-Wing Militants,0,8,0.0,1,0.0
1970,1,28,0,217,1,Washington,Seattle,47.610786,-122.331306,1.0,0,0.0,1,0,3,15,Temple De Hirsch,217.0,White extremists,0,6,0.0,1,0.0
1970,1,30,0,217,1,Nebraska,South Sioux City,42.46634,-96.41405,1.0,0,1.0,1,0,3,1,A & B Boat Shop,217.0,Strikers,0,6,0.0,1,0.0
1970,1,30,0,217,1,Florida,Coral Gables,25.720851,-80.277857,1.0,0,0.0,1,0,7,4,"Army R.O.T.C., University of Miami",217.0,Student Radicals,0,8,0.0,1,0.0
1970,2,1,0,217,1,Oregon,Portland,45.511795,-122.675629,1.0,0,0.0,1,0,7,2,Selective Service office Local Board No. 28 in Portland Oregon,217.0,Left-Wing Militants,0,8,0.0,1,0.0
1970,2,1,0,217,1,Illinois,Cairo,37.005105,-89.176269,1.0,0,0.0,1,0,2,3,Illinois State Police in the Pyramid Courts housing project,217.0,Black Nationalists,0,5,0.0,1,0.0
1970,2,6,0,217,1,Colorado,Denver,39.758968,-104.876305,1.0,0,0.0,1,0,3,19,Denver City School Buses,217.0,Black Nationalists,0,6,0.0,1,0.0
1970,2,6,0,217,1,Washington,Seattle,47.610786,-122.331306,1.0,0,0.0,1,0,3,2,Fred Dore,217.0,White extremists,0,6,0.0,1,0.0
1970,2,6,0,217,1,Puerto Rico,Dorado,18.460791,-66.264884,1.0,0,1.0,1,0,7,2,Selective Service office in Dorado Puerto Rico,217.0,Armed Revolutionary Independence Movement (MIRA),0,8,0.0,-9,0.0
1970,2,6,0,217,1,Puerto Rico,Carolina,18.441963,-66.026316,1.0,0,1.0,1,0,7,1,San Juan Hotel,163.0,Armed Revolutionary Independence Movement (MIRA),0,8,0.0,-9,0.0
1970,2,6,0,217,1,Massachusetts,Boston,42.3505,-71.105399,1.0,0,0.0,1,0,7,4,"R.O.T.C. office, Boston University",217.0,Student Radicals,0,8,0.0,1,0.0
1970,2,7,0,217,1,Wisconsin,Whitewater,42.838355,-88.743224,1.0,0,0.0,1,0,7,8,"Old Mail Hall, Wisconsin State College",217.0,Student Radicals,0,8,0.0,1,0.0
1970,2,8,0,217,1,New York,New York City,40.697132,-73.931351,1.0,0,1.0,1,0,3,1,Queens General Electric Service Center,217.0,Armed Revolutionary Independence Movement (MIRA),0,6,0.0,1,0.0
1970,2,8,0,217,1,New York,New York City,40.697132,-73.931351,1.0,0,1.0,1,0,3,1,Brooklyn General Electric Service Center,217.0,Armed Revolutionary Independence Movement (MIRA),0,6,0.0,1,0.0
1970,2,9,0,217,1,New York,New York City,40.697132,-73.931351,1.0,0,1.0,0,0,3,1,General Electric Headquarters,217.0,Armed Revolutionary Independence Movement (MIRA),0,6,0.0,0,0.0
1970,2,9,0,217,1,Ohio,Batavia,39.07859,-84.179414,1.0,0,0.0,1,0,3,14,Leslie Jewel,217.0,Strikers,0,6,0.0,1,0.0
1970,2,10,0,362,8,Bavaria,Munich,48.139126,11.580186,1.0,0,0.0,1,0,2,6,El Al Passenger Bus & Airport Lounge,97.0,Popular Front for the Liberation of Palestine (PFLP),0,5,1.0,1,0.0
1970,2,13,0,362,8,Bavaria,Munich,48.139126,11.580186,1.0,0,0.0,1,0,7,14,Jewish Old People's Home,75.0,Popular Front for the Liberation of Palestine (PFLP),0,8,7.0,1,0.0
1970,2,13,0,217,1,California,Berkeley,37.874043,-122.280022,1.0,0,0.0,1,0,3,3,Berkeley Police Station,217.0,Black Nationalists,0,6,0.0,1,0.0
1970,2,15,0,217,1,New York,New York City,40.697132,-73.931351,1.0,0,0.0,1,0,3,1,"Chase Manhattan Bank, East Village Branch",217.0,Left-Wing Militants,0,6,0.0,1,0.0
1970,2,15,0,217,1,Oregon,Eugene,44.04483,-123.072606,1.0,0,0.0,1,0,7,4,"R.O.T.C. storage area, University of Oregon",217.0,Student Radicals,0,8,0.0,1,0.0
1970,2,16,0,217,1,California,San Francisco,37.755363,-122.443352,1.0,0,1.0,0,0,2,3,San Francisco Police Officers,217.0,Left-Wing Militants,0,5,0.0,0,0.0
1970,2,17,0,217,1,Louisiana,Covington,30.493919,-90.132512,1.0,0,0.0,1,0,3,8,Covington High School,217.0,White extremists,0,6,0.0,1,0.0
1970,2,17,0,217,1,Washington,Seattle,47.610786,-122.331306,1.0,0,0.0,0,0,3,4,"Armory, University of Washington",217.0,Student Radicals,0,6,0.0,0,0.0
1970,2,20,0,217,1,Connecticut,Hartford,41.763325,-72.674069,1.0,0,0.0,1,0,7,2,United States District Court of Connecticut,217.0,Left-Wing Militants,0,8,0.0,1,0.0
1970,2,20,0,217,1,New York,New York City,40.697132,-73.931351,1.0,0,0.0,1,0,7,8,Columbia University International Law Library,217.0,Student Radicals,0,8,0.0,1,0.0
1970,2,20,0,217,1,Washington,Seattle,47.610786,-122.331306,1.0,0,0.0,1,0,3,8,"Construction site of Architecture School, University of Washington",217.0,Student Radicals,0,6,0.0,1,0.0
