,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
50575,0,160,5,1,2,6.066693,121.100042,1.0,0,0.0,1,0,3,19,2,160.0,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
49737,0,153,6,402,1569,34.006004,71.53743,1.0,1,0.0,1,0,3,14,13,153.0,0,6,6.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
30571,0,183,11,15,56,-26.252697,27.870275,1.0,0,0.0,1,0,2,1,95,183.0,0,5,5.0,1,0.0,African National Congress (South Africa)
14809,0,43,3,218,914,-33.366238,-70.505302,1.0,0,1.0,1,0,3,1,1044,43.0,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
65086,0,214,9,118,491,48.139713,37.643398,1.0,0,0.0,1,0,3,14,459,214.0,0,6,0.0,-9,0.0,Donetsk People's Republic
7371,0,69,8,111,52,48.856644,2.34233,1.0,0,0.0,1,0,3,19,593,69.0,0,6,1.0,1,0.0,Corsican National Liberation Front (FLNC)
18018,0,603,8,161,694,54.607712,-5.95621,1.0,0,0.0,1,0,1,14,807,233.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
47239,0,92,6,102,359,24.302783,85.005153,1.0,0,0.0,1,0,2,17,501,92.0,0,5,3.0,0,0.0,Communist Party of India - Maoist (CPI-Maoist)
74351,0,228,10,40,155,16.902568,49.328913,1.0,0,0.0,0,1,1,4,240,228.0,0,6,9.0,-9,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
55630,0,228,10,44,171,13.980025,48.189154,1.0,0,1.0,0,0,2,1,268,228.0,0,5,0.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
28356,0,43,3,218,914,-33.366238,-70.505302,1.0,0,0.0,1,0,3,2,217,43.0,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
75668,0,173,10,155,662,16.893194,42.57526,1.0,0,0.0,1,0,3,14,447,173.0,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
76310,0,45,3,262,1066,8.251932,-73.353994,3.0,0,0.0,0,0,3,20,6,45.0,0,6,0.0,0,0.0,National Liberation Army of Colombia (ELN)
69327,0,209,10,181,813,37.331478,42.185897,3.0,0,0.0,1,0,3,14,921,209.0,0,6,1.0,-9,0.0,Kurdistan Workers' Party (PKK)
49510,0,45,3,262,1101,8.436226,-73.286661,1.0,1,0.0,1,0,3,21,1469,45.0,0,6,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
16958,0,159,3,224,926,-11.967368,-76.978462,1.0,0,0.0,1,0,3,3,1075,159.0,0,6,0.0,1,0.0,Shining Path (SL)
5709,0,97,10,337,1283,31.771599,35.2034,1.0,0,0.0,1,0,3,7,1411,422.0,0,6,0.0,1,0.0,Palestinians
71645,0,160,5,307,1162,12.99271,124.014746,1.0,0,0.0,1,0,1,4,1299,160.0,0,5,1.0,0,0.0,New People's Army (NPA)
8142,0,603,8,161,701,54.253718,-7.44106,1.0,0,0.0,1,0,1,4,793,216.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
60765,0,228,10,41,24,15.46591,45.293941,4.0,0,1.0,1,0,3,21,231,228.0,0,6,0.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
13814,0,183,11,15,55,-26.234679,28.370372,1.0,0,0.0,1,0,3,3,94,183.0,0,6,1.0,1,0.0,African National Congress (South Africa)
70494,0,182,11,53,186,2.059819,45.326115,1.0,0,0.0,1,0,2,2,316,182.0,0,5,2.0,1,0.0,Al-Shabaab
48445,0,45,3,271,1087,6.95894,-71.872647,1.0,1,0.0,0,0,3,4,1217,45.0,0,6,0.0,0,0.0,National Liberation Army of Colombia (ELN)
12523,0,145,2,318,1202,13.564251,-86.02984,1.0,0,0.0,1,0,2,4,672,145.0,0,5,12.0,1,0.0,Nicaraguan Democratic Force (FDN)
66432,0,228,10,45,165,14.413989,44.837418,1.0,0,0.0,1,0,1,4,262,228.0,0,5,1.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
77025,0,95,10,26,737,34.021821,44.933508,1.0,0,0.0,1,0,3,4,189,95.0,0,6,1.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
68037,0,214,9,118,475,47.963322,37.440448,1.0,0,0.0,1,0,3,14,27,214.0,0,6,0.0,-9,0.0,Donetsk People's Republic
18942,0,159,3,355,1387,-10.680652,-76.259918,1.0,0,0.0,1,0,3,1,1813,159.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
67752,0,214,9,118,489,48.098675,37.663422,1.0,0,0.0,1,0,3,4,48,214.0,0,6,0.0,-9,0.0,Donetsk People's Republic
51716,0,95,10,26,114,33.593056,44.501111,1.0,0,1.0,1,0,3,14,13,95.0,0,6,0.0,1,0.0,Al-Qaida in Iraq
55554,0,4,6,380,1500,32.689845,62.732388,2.0,0,0.0,1,1,3,4,1682,422.0,0,6,1.0,1,0.0,Taliban
72913,0,160,5,282,1129,9.826864,122.642296,1.0,0,0.0,1,0,2,3,1276,160.0,0,5,2.0,0,0.0,New People's Army (NPA)
26948,0,186,6,207,859,7.219392,81.849757,1.0,0,0.0,1,0,3,14,962,186.0,0,6,8.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
39403,0,45,3,265,1075,6.242026,-75.564766,1.0,0,1.0,1,0,3,1,1227,45.0,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
32517,0,603,8,161,694,54.607712,-5.95621,1.0,0,0.0,0,0,7,1,810,216.0,0,8,0.0,1,0.0,Irish Republican Army (IRA)
58178,0,4,6,377,1490,31.784801,65.755234,3.0,0,0.0,1,1,3,4,1677,422.0,0,6,10.0,1,0.0,Taliban
62449,1,214,9,118,467,47.858047,38.221877,1.0,0,0.0,1,0,6,10,645,214.0,0,6,0.0,1,1.0,Donetsk People's Republic
7362,0,155,10,335,1288,31.907141,35.198219,1.0,0,0.0,1,0,2,14,1427,97.0,0,8,1.0,1,0.0,Palestinians
48270,0,153,6,366,1585,33.594013,73.069077,1.0,0,1.0,1,0,2,14,1744,153.0,0,5,3.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
71929,0,182,11,53,186,2.059819,45.326115,1.0,0,0.0,1,0,1,4,330,182.0,0,5,1.0,0,0.0,Al-Shabaab
67184,0,182,11,53,186,2.059819,45.326115,1.0,0,0.0,1,0,2,2,334,182.0,0,5,1.0,0,0.0,Al-Shabaab
67074,0,123,11,234,1019,15.168486,-4.431083,1.0,0,0.0,1,0,1,2,1152,123.0,0,5,1.0,0,0.0,Muslim extremists
74089,0,228,10,38,144,12.825647,44.846416,1.0,0,0.0,0,1,1,3,247,228.0,0,6,1.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
23472,0,160,5,285,1120,15.153002,120.591942,1.0,0,0.0,1,0,2,3,1269,160.0,0,5,0.0,1,0.0,New People's Army (NPA)
53894,0,153,6,404,1572,24.891115,67.143311,1.0,0,1.0,1,1,3,15,1749,153.0,0,6,3.0,-9,0.0,Tehrik-i-Taliban Pakistan (TTP)
20340,0,183,11,15,78,-26.189151,28.31707,1.0,0,0.0,1,0,3,3,124,183.0,0,6,0.0,1,0.0,African National Congress (South Africa)
38505,0,185,8,69,257,37.38264,-5.996295,1.0,0,1.0,1,0,1,4,404,185.0,0,5,2.0,0,0.0,Basque Fatherland and Freedom (ETA)
50335,0,160,5,1,42,6.021834,121.16568,1.0,0,0.0,1,0,3,2,58,160.0,0,6,0.0,-9,0.0,Abu Sayyaf Group (ASG)
64369,0,160,5,284,1116,7.149184,125.945636,1.0,0,0.0,0,0,2,4,48,160.0,0,5,0.0,0,0.0,New People's Army (NPA)
5765,0,69,8,111,52,48.856644,2.34233,1.0,0,0.0,1,0,3,4,609,69.0,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
3426,0,603,8,161,694,54.607712,-5.95621,1.0,0,1.0,1,0,7,1,794,216.0,0,8,0.0,1,0.0,Irish Republican Army (IRA)
75509,0,228,10,40,153,14.54397,49.12458,1.0,0,1.0,1,1,3,4,20,228.0,0,6,4.0,-9,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
7127,0,185,8,68,233,43.32412,-1.929857,1.0,0,0.0,0,0,2,3,392,185.0,0,5,0.0,0,0.0,Basque Fatherland and Freedom (ETA)
7274,0,61,2,122,540,13.716667,-89.233333,1.0,0,0.0,1,0,2,4,672,61.0,0,5,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
51084,1,92,6,102,347,24.177863,86.306667,3.0,0,0.0,1,0,6,1,1129,92.0,0,5,0.0,1,1.0,Maoists
54121,0,95,10,34,125,32.469238,44.416637,1.0,0,1.0,1,0,3,2,195,95.0,0,6,2.0,1,0.0,Al-Qaida in Iraq
83193,0,182,11,51,184,1.789637,44.529976,1.0,0,0.0,1,0,3,4,249,182.0,0,6,1.0,0,0.0,Al-Shabaab
75827,0,92,6,104,363,22.408769,87.373316,3.0,0,1.0,0,0,3,20,6,92.0,0,6,0.0,0,0.0,Maoists
44300,0,95,10,31,117,31.98958,44.923775,1.0,0,1.0,1,0,7,17,186,95.0,0,5,10.0,1,0.0,Al-Qaida in Iraq
54497,0,147,11,138,589,8.455538,8.212538,1.0,0,1.0,1,0,7,14,27,147.0,0,5,5.0,1,0.0,Fulani extremists
34905,1,160,5,3,9,10.338213,123.942398,1.0,0,0.0,1,0,6,14,10,160.0,0,5,0.0,0,1.0,Abu Sayyaf Group (ASG)
74817,0,153,6,405,1587,34.565494,71.477429,2.0,0,1.0,1,0,6,4,1746,153.0,0,5,1.0,0,1.0,Tehrik-i-Taliban Pakistan (TTP)
9484,0,185,8,68,228,43.18418,-2.473289,1.0,0,0.0,1,0,3,3,351,185.0,0,6,1.0,1,0.0,Basque Fatherland and Freedom (ETA)
28199,0,61,2,120,511,13.883333,-88.966667,1.0,0,0.0,1,0,2,4,332,61.0,0,5,11.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
4788,0,69,8,111,52,48.856644,2.34233,1.0,0,0.0,1,0,3,1,606,69.0,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
19301,0,43,3,217,915,-33.050125,-71.612251,1.0,0,0.0,1,0,3,1,1033,43.0,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
49427,0,92,6,101,367,26.652335,85.272304,1.0,0,0.0,1,0,7,16,508,92.0,0,8,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
14905,0,145,2,322,1224,11.88333,-86.01667,1.0,0,1.0,1,0,2,1,59,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
28865,0,186,6,207,869,8.5922,81.196796,3.0,0,0.0,1,0,2,4,332,186.0,0,5,8.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
28952,0,97,10,335,1293,32.410221,35.281722,1.0,0,0.0,1,0,8,4,12,97.0,0,9,0.0,1,0.0,Palestinians
80767,0,209,10,182,795,37.293709,43.671189,3.0,0,0.0,1,0,3,4,667,209.0,0,6,0.0,1,0.0,Kurdistan Workers' Party (PKK)
58079,0,182,11,56,190,2.973305,45.535603,1.0,0,1.0,1,0,2,4,249,182.0,0,6,7.0,1,0.0,Al-Shabaab
12421,0,145,2,321,1215,11.95,-85.216667,1.0,0,0.0,1,0,2,14,1334,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
78992,0,95,10,29,115,36.354145,43.14357,1.0,0,0.0,1,0,3,8,51,95.0,0,6,2.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
80241,0,92,6,102,390,22.572048,85.460775,2.0,0,0.0,1,0,2,14,535,92.0,0,5,0.0,0,0.0,Communist Party of India - Maoist (CPI-Maoist)
68843,0,147,11,86,312,11.829979,12.630177,1.0,0,0.0,1,0,2,14,27,147.0,0,5,25.0,1,0.0,Boko Haram
17660,0,183,11,21,82,-33.941849,18.41964,1.0,0,0.0,0,0,3,4,136,183.0,0,6,0.0,0,0.0,African National Congress (South Africa)
49297,0,92,6,101,348,25.561362,84.309496,1.0,0,0.0,1,0,7,1,491,92.0,0,8,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
45922,0,92,6,103,393,18.791667,80.816667,3.0,0,0.0,1,0,2,14,538,92.0,0,5,3.0,0,0.0,Communist Party of India - Maoist (CPI-Maoist)
45006,0,153,6,403,1582,33.590603,71.44062,1.0,0,0.0,1,0,3,1,1741,153.0,0,6,3.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
53189,0,95,10,28,120,33.835629,44.247406,1.0,0,1.0,1,0,3,4,20,95.0,0,6,5.0,1,0.0,Al-Qaida in Iraq
54889,0,95,10,25,108,33.303566,44.371773,1.0,0,1.0,1,0,3,14,211,95.0,0,6,2.0,0,0.0,Al-Qaida in Iraq
79854,0,182,11,53,186,2.059819,45.326115,1.0,0,0.0,1,0,1,2,310,182.0,0,5,1.0,0,0.0,Al-Shabaab
51744,0,228,10,42,152,13.887403,45.863647,1.0,0,0.0,1,0,3,14,13,228.0,0,6,2.0,-9,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
49996,0,228,10,42,166,13.932036,46.083254,1.0,0,0.0,1,1,3,2,256,228.0,0,6,5.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
75208,0,182,11,56,209,2.777264,45.500641,1.0,1,0.0,1,0,2,4,258,422.0,0,5,1.0,0,0.0,Al-Shabaab
57103,0,65,11,61,197,8.984457,38.807635,1.0,0,0.0,1,1,3,14,307,65.0,0,6,2.0,1,0.0,Al-Shabaab
43252,0,186,6,208,849,6.91218,79.882883,1.0,0,0.0,0,0,3,20,961,186.0,0,6,0.0,0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
21421,0,61,2,122,505,13.69288,-89.199161,1.0,0,0.0,0,0,3,3,707,61.0,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
48342,1,153,6,405,1598,33.68745,71.516037,1.0,1,0.0,1,0,1,14,1760,153.0,0,9,2.0,0,1.0,Tehrik-i-Taliban Pakistan (TTP)
74768,0,228,10,152,659,13.586484,44.024105,1.0,0,0.0,1,0,3,14,447,228.0,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
47302,0,173,10,159,679,16.893194,42.57526,1.0,0,0.0,1,0,2,4,761,173.0,0,5,1.0,1,0.0,Houthi extremists (Ansar Allah)
64180,0,214,9,118,461,47.981647,37.762325,1.0,0,0.0,1,0,2,4,646,214.0,0,6,2.0,1,0.0,Donetsk People's Republic
11365,0,145,2,326,1240,13.00583,-87.50278,1.0,0,0.0,1,0,3,11,1348,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
75165,0,92,6,103,963,19.853635,80.635241,1.0,0,0.0,1,0,2,14,1112,92.0,0,5,1.0,0,0.0,Maoists
7766,0,185,8,76,251,42.815372,-1.653616,1.0,0,0.0,1,0,3,8,389,185.0,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
