,iyear,imonth,iday,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
74152,2016,5,1,0,228,10,57,279,13.586484,44.024105,1.0,0,1.0,1,0,3,14,1222,228.0,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
61872,2014,7,27,0,228,10,49,250,14.061252,46.914978,1.0,0,1.0,1,1,3,4,172,228.0,0,6,4.0,-9,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
15610,1986,5,16,0,159,3,256,1556,-11.967368,-76.978462,1.0,0,1.0,1,0,7,1,2873,159.0,0,8,0.0,1,0.0,Shining Path (SL)
6680,1980,6,10,0,97,10,246,2260,32.089161,34.88382,1.0,0,0.0,1,0,3,14,2635,97.0,0,6,1.0,1,0.0,Palestinians
18282,1987,10,18,0,92,6,318,2512,31.819789,75.692805,1.0,0,0.0,1,0,2,14,3024,92.0,0,5,1.0,1,0.0,Sikh Extremists
5380,1979,7,9,0,97,10,412,2215,31.771599,35.2034,1.0,0,0.0,0,0,3,14,206,97.0,0,6,0.0,1,0.0,Palestinians
72776,2016,2,11,0,217,1,292,1754,40.064024,-82.863818,1.0,0,0.0,1,0,2,1,361,217.0,1,9,1.0,0,0.0,Muslim extremists
26702,1991,2,6,0,45,3,422,24,3.27199,-73.087749,4.0,0,0.0,1,0,7,1,2756,45.0,0,8,0.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
49412,2011,3,19,0,153,6,484,535,33.915234,71.458679,1.0,1,0.0,1,0,3,19,3281,153.0,0,6,0.0,1,0.0,Tehrik-i-Taliban Pakistan (TTP)
77138,2016,10,21,0,173,10,58,1128,17.554939,44.232357,1.0,0,0.0,1,0,2,14,844,173.0,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
53674,2012,10,24,0,147,11,102,463,11.704399,11.088539,1.0,0,1.0,1,0,7,8,51,147.0,0,8,0.0,1,0.0,Boko Haram
48844,2010,11,2,0,95,10,30,177,33.303566,44.371773,1.0,0,1.0,1,0,3,1,344,95.0,0,6,1.0,1,0.0,Al-Qaida in Iraq
13852,1985,5,16,0,61,2,148,24,13.447063,-88.556531,4.0,0,1.0,1,0,3,21,1251,61.0,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
13400,1985,2,15,0,61,2,139,914,13.749885,-89.199936,1.0,0,0.0,1,0,2,4,1239,61.0,0,5,1.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
21901,1989,4,14,0,185,8,81,388,43.291618,-1.977903,1.0,0,0.0,1,0,3,3,767,185.0,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
26653,1991,2,2,0,43,3,250,1544,-33.366238,-70.505302,1.0,0,0.0,1,0,3,15,1962,217.0,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
65711,2015,2,9,0,214,9,135,799,48.346134,38.424828,1.0,0,0.0,1,0,3,14,855,214.0,0,6,0.0,-9,0.0,Donetsk People's Republic
44003,2007,7,4,0,153,6,280,1735,33.671638,73.056068,1.0,0,0.0,1,0,6,15,2130,153.0,0,5,7.0,1,1.0,Muslim extremists
81571,2017,7,22,0,173,10,174,1130,24.08554,38.063286,1.0,0,0.0,1,0,3,1,1383,173.0,0,6,0.0,1,0.0,Houthi extremists (Ansar Allah)
2272,1975,8,11,0,603,8,178,1179,54.607712,-5.95621,1.0,0,0.0,1,0,2,4,1471,233.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
59290,2014,3,29,0,182,11,61,324,1.716188,44.768864,1.0,0,0.0,1,0,2,4,345,182.0,0,5,1.0,0,0.0,Al-Shabaab
22010,1989,4,26,0,160,5,362,1956,10.974698,124.893489,1.0,0,0.0,1,0,2,3,162,160.0,0,5,6.0,1,0.0,New People's Army (NPA)
47954,2010,5,3,0,160,5,358,1932,8.280488,126.255202,1.0,0,0.0,1,0,2,3,2340,160.0,0,5,2.0,-9,0.0,New People's Army (NPA)
12968,1984,10,26,0,145,2,404,2165,11.43857,-85.936974,1.0,0,0.0,1,0,2,4,2511,145.0,0,5,80.0,1,0.0,Nicaraguan Democratic Force (FDN)
54205,2013,1,7,0,147,11,107,486,11.974328,8.50026,1.0,0,0.0,1,0,2,15,354,147.0,0,5,3.0,0,0.0,Boko Haram
63098,2014,9,28,0,6,10,289,1747,34.789675,-0.553424,1.0,0,0.0,1,0,2,4,48,6.0,0,5,2.0,0,0.0,Muslim extremists
53927,2012,11,26,0,153,6,280,1735,33.671638,73.056068,1.0,0,0.0,0,0,3,10,3238,153.0,0,6,0.0,0,0.0,Tehrik-i-Taliban Pakistan (TTP)
57700,2013,12,12,1,92,6,122,1572,18.355422,81.833743,1.0,0,1.0,1,0,6,14,2079,92.0,0,5,1.0,0,1.0,Maoists
57022,2013,10,6,0,228,10,50,241,15.325443,44.211895,1.0,0,0.0,0,0,6,7,456,75.0,0,5,1.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
42698,2006,2,2,0,141,6,261,1657,28.518126,81.11616,1.0,0,0.0,1,0,3,14,2074,141.0,0,6,0.0,1,0.0,Maoists
26650,1991,2,1,0,186,6,206,1470,9.719408,79.856688,1.0,0,0.0,0,0,3,4,1779,186.0,0,6,0.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
59350,2014,4,2,0,228,10,45,236,12.825647,44.846416,1.0,0,0.0,1,1,3,4,373,228.0,0,6,11.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
71929,2015,12,26,0,182,11,63,304,2.059819,45.326115,1.0,0,0.0,1,0,1,4,589,182.0,0,5,1.0,0,0.0,Al-Shabaab
56879,2013,9,23,0,4,6,458,24,32.879882,66.150174,4.0,0,0.0,1,0,3,14,13,4.0,0,6,2.0,1,0.0,Taliban
82479,2017,9,25,0,209,10,216,1367,39.547222,44.083333,3.0,0,0.0,1,0,2,19,1679,4.0,0,5,3.0,1,0.0,Kurdistan Workers' Party (PKK)
64565,2014,12,19,1,45,3,341,2283,3.012639,-76.482881,2.0,0,0.0,1,0,6,4,2705,45.0,0,6,5.0,0,1.0,Revolutionary Armed Forces of Colombia (FARC)
83487,2017,12,16,0,95,10,31,1278,33.824244,44.789265,3.0,0,0.0,0,0,3,20,6,95.0,0,6,0.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
83365,2017,12,4,0,147,11,105,1022,9.374888,12.093306,2.0,0,1.0,1,0,2,14,27,147.0,0,5,1.0,1,0.0,Fulani extremists
48357,2010,7,14,0,228,10,49,255,13.129726,45.385571,1.0,0,1.0,1,0,3,2,515,228.0,0,5,2.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
65081,2015,1,14,0,214,9,135,800,47.805,37.576667,1.0,0,0.0,1,0,3,4,1191,214.0,0,6,0.0,-9,0.0,Donetsk People's Republic
15719,1986,6,8,0,159,3,256,1556,-11.967368,-76.978462,1.0,0,0.0,1,0,3,14,2887,159.0,0,6,1.0,1,0.0,Shining Path (SL)
31510,1992,10,17,0,209,10,210,1347,37.522653,42.452637,1.0,0,0.0,1,0,1,3,1702,209.0,0,5,1.0,0,0.0,Kurdistan Workers' Party (PKK)
64823,2015,1,1,0,104,11,75,328,-1.749689,41.192947,1.0,0,0.0,1,0,2,4,59,104.0,0,5,3.0,-9,0.0,Al-Shabaab
45207,2008,7,11,0,92,6,117,619,24.744071,86.457931,1.0,1,0.0,1,0,3,19,937,92.0,0,6,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
6487,1980,4,15,0,603,8,178,1212,54.515694,-6.055724,1.0,0,0.0,1,0,3,1,437,216.0,0,6,0.0,1,0.0,Irish Republican Army (IRA)
34300,1995,6,2,0,186,6,73,1471,7.775413,81.606247,1.0,0,0.0,0,0,1,14,1816,186.0,0,5,0.0,0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
21162,1989,1,15,0,61,2,142,869,13.5,-88.866667,1.0,0,0.0,1,0,3,4,1264,61.0,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
33035,1994,5,17,0,209,10,218,24,39.067995,40.777644,4.0,0,0.0,1,0,2,4,412,209.0,0,5,1.0,1,0.0,Kurdistan Workers' Party (PKK)
14291,1985,7,23,0,145,2,407,2134,13.69517,-84.85311,1.0,0,0.0,1,0,2,2,2493,145.0,0,5,3.0,1,0.0,Nicaraguan Democratic Force (FDN)
68939,2015,7,18,0,214,9,135,792,47.981647,37.762325,1.0,0,0.0,1,0,3,14,1222,214.0,0,6,1.0,-9,0.0,Donetsk People's Republic
59896,2014,4,30,0,4,6,459,2633,32.677261,61.981559,3.0,0,1.0,1,0,2,3,2055,4.0,0,5,2.0,1,0.0,Taliban
51708,2012,4,19,0,95,10,33,189,33.835629,44.247406,1.0,0,1.0,1,0,3,20,6,95.0,0,6,0.0,0,0.0,Al-Qaida in Iraq
14733,1985,11,6,0,159,3,256,1556,-11.967368,-76.978462,1.0,0,0.0,1,0,2,4,1264,159.0,0,5,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
64692,2014,12,25,0,153,6,389,2762,33.885767,71.120431,1.0,0,0.0,1,0,2,14,3263,153.0,0,5,1.0,0,0.0,Tehrik-i-Taliban Pakistan (TTP)
68965,2015,7,20,0,209,10,203,1296,36.975594,38.426399,1.0,0,0.0,1,1,3,14,1635,209.0,0,6,34.0,1,0.0,Islamic State of Iraq and the Levant (ISIL)
65091,2015,1,14,0,214,9,135,832,47.827862,37.652819,1.0,0,1.0,1,0,3,14,855,214.0,0,6,0.0,-9,0.0,Donetsk People's Republic
8933,1982,7,16,0,185,8,89,404,42.815372,-1.653616,1.0,0,0.0,1,0,3,2,758,185.0,0,6,1.0,1,0.0,Basque Fatherland and Freedom (ETA)
31947,1992,12,3,0,69,8,126,24,41.918891,8.737554,4.0,0,1.0,1,0,3,2,410,69.0,0,6,0.0,1,0.0,Corsican National Liberation Front (FLNC)
32370,1994,1,27,0,603,8,46,1185,51.504387,-0.140041,1.0,0,0.0,1,0,7,1,1489,216.0,0,8,0.0,1,0.0,Irish Republican Army (IRA)
6232,1980,2,14,0,83,2,153,908,14.622869,-90.529068,1.0,0,0.0,1,0,2,7,1291,61.0,0,5,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
17628,1987,7,15,0,183,11,20,161,-32.949255,27.734962,1.0,0,0.0,1,0,2,3,188,183.0,0,5,3.0,1,0.0,African National Congress (South Africa)
37017,1998,8,24,0,160,5,0,16,6.681959,121.985477,1.0,0,0.0,1,0,2,3,115,160.0,0,5,2.0,1,0.0,Abu Sayyaf Group (ASG)
80398,2017,5,19,0,160,5,365,1945,16.670136,121.717106,2.0,0,0.0,1,0,4,1,410,160.0,0,8,0.0,1,1.0,New People's Army (NPA)
53374,2012,9,29,0,228,10,49,244,13.887403,45.863647,1.0,0,0.0,1,1,3,17,485,228.0,0,6,3.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
72041,2016,1,1,0,92,6,117,596,25.740541,84.824858,1.0,0,1.0,0,0,3,1,915,92.0,0,6,0.0,0,0.0,Communist Party of India - Maoist (CPI-Maoist)
76409,2016,9,12,0,45,3,333,1878,7.022091,-71.385222,1.0,0,0.0,0,0,3,20,6,45.0,0,6,0.0,0,0.0,National Liberation Army of Colombia (ELN)
63423,2014,10,14,0,121,5,13,62,7.277091,117.458841,1.0,0,0.0,1,0,2,11,107,121.0,0,5,0.0,1,0.0,Abu Sayyaf Group (ASG)
72913,2016,2,18,0,160,5,349,1931,9.826864,122.642296,1.0,0,0.0,1,0,2,3,537,160.0,0,5,2.0,0,0.0,New People's Army (NPA)
47022,2009,8,22,1,92,6,120,650,22.632149,86.764311,1.0,0,0.0,1,0,6,2,970,92.0,0,5,2.0,0,1.0,Communist Party of India - Maoist (CPI-Maoist)
7997,1981,9,14,0,603,8,178,1228,54.755402,-6.606029,1.0,0,0.0,1,0,1,3,1554,233.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
69422,2015,8,11,0,37,11,109,538,11.135556,13.881944,1.0,0,0.0,1,0,2,14,855,37.0,0,5,10.0,0,0.0,Boko Haram
66864,2015,4,11,0,228,10,45,236,12.825647,44.846416,1.0,0,1.0,1,0,2,14,13,228.0,0,5,2.0,0,0.0,Houthi extremists (Ansar Allah)
74057,2016,4,25,0,92,6,125,1634,20.489143,80.374216,2.0,0,1.0,1,0,6,14,2059,92.0,0,5,1.0,0,1.0,Maoists
56161,2013,7,24,0,60,10,268,1726,31.126646,33.800865,1.0,1,0.0,1,0,3,3,2121,60.0,0,6,3.0,0,0.0,Muslim extremists
17577,1987,7,8,0,183,11,19,96,-26.184113,28.033232,1.0,0,0.0,1,0,3,1,200,183.0,0,6,0.0,1,0.0,African National Congress (South Africa)
16849,1987,3,6,0,159,3,256,1556,-11.967368,-76.978462,1.0,0,1.0,1,0,3,1,3341,159.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
30285,1992,5,9,0,603,8,46,1217,54.959373,-1.601825,1.0,0,0.0,0,0,7,1,1528,216.0,0,8,0.0,1,0.0,Irish Republican Army (IRA)
44844,2008,5,8,0,186,6,242,1448,8.757816,80.487907,1.0,0,0.0,1,0,2,14,1772,186.0,0,5,1.0,0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
47668,2010,2,23,0,92,6,117,604,24.749905,84.370896,2.0,1,1.0,1,0,7,1,923,92.0,0,8,0.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
73528,2016,3,23,1,160,5,7,55,7.674924,123.152963,1.0,0,0.0,1,0,6,14,95,160.0,0,5,1.0,0,1.0,Abu Sayyaf Group (ASG)
48717,2010,10,2,0,153,6,484,2716,34.965592,71.822004,1.0,0,0.0,1,0,2,14,3209,153.0,0,5,1.0,0,0.0,Tehrik-i-Taliban Pakistan (TTP)
33157,1994,6,17,0,45,3,327,1825,6.242026,-75.564766,1.0,0,1.0,1,0,3,1,2217,45.0,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
26227,1990,11,28,0,69,8,126,753,42.699997,9.447317,1.0,0,0.0,1,0,7,2,1149,69.0,0,5,0.0,1,0.0,Corsican National Liberation Front (FLNC)
77378,2016,11,4,0,92,6,119,678,18.391134,81.659273,3.0,0,0.0,1,0,2,14,2013,92.0,0,5,1.0,0,0.0,Maoists
72509,2016,1,27,0,92,6,122,1580,19.583711,83.500638,1.0,0,0.0,0,0,3,4,48,92.0,0,6,0.0,0,0.0,Maoists
45242,2008,7,20,0,160,5,382,2010,6.61417,125.236669,1.0,0,0.0,1,0,7,1,2402,422.0,0,5,0.0,1,0.0,New People's Army (NPA)
13806,1985,5,14,0,186,6,243,1481,8.345185,80.388133,1.0,0,0.0,1,0,2,14,13,186.0,0,5,146.0,1,0.0,Liberation Tigers of Tamil Eelam (LTTE)
46064,2009,1,26,1,182,11,60,301,3.115641,43.64658,1.0,0,0.0,1,0,2,2,598,182.0,0,5,0.0,-9,1.0,Al-Shabaab
63093,2014,9,28,0,228,10,48,252,15.8275,44.793889,1.0,0,0.0,1,1,3,17,427,228.0,0,6,16.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
45000,2008,6,2,0,186,6,206,1438,7.733107,81.68882,1.0,0,0.0,1,0,2,22,1747,186.0,0,5,2.0,0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
33007,1994,5,14,0,209,10,210,1347,37.522653,42.452637,1.0,1,0.0,1,0,2,4,412,209.0,0,5,2.0,1,0.0,Kurdistan Workers' Party (PKK)
41949,2005,4,20,0,141,6,246,1622,26.760601,85.926979,1.0,0,0.0,1,0,3,3,2054,141.0,0,6,4.0,1,0.0,Maoists
54074,2012,12,18,0,153,6,486,2711,24.891115,67.143311,1.0,0,0.0,1,0,3,3,3213,153.0,0,6,1.0,-9,0.0,Tehrik-i-Taliban Pakistan (TTP)
14358,1985,8,10,0,183,11,20,98,-32.985771,27.866086,1.0,0,0.0,0,0,3,21,259,183.0,0,6,0.0,1,0.0,African National Congress (South Africa)
79669,2017,4,2,0,147,11,100,470,11.922882,13.281358,2.0,0,1.0,1,1,3,14,841,147.0,0,6,1.0,1,0.0,Boko Haram
79029,2017,2,18,0,95,10,34,184,36.354145,43.14357,1.0,0,0.0,1,0,3,14,334,95.0,0,6,3.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
17750,1987,7,29,0,92,6,447,2491,28.690073,77.213982,1.0,0,1.0,0,0,3,2,1935,92.0,0,6,0.0,1,0.0,Sikh Extremists
20382,1988,9,28,0,183,11,25,140,-34.057188,18.865482,1.0,0,0.0,1,0,3,2,283,183.0,0,6,0.0,1,0.0,African National Congress (South Africa)
63000,2014,9,23,0,147,11,155,1004,7.031136,7.777072,1.0,0,1.0,1,0,6,14,27,147.0,0,9,1.0,1,1.0,Fulani extremists
30953,1992,8,9,0,92,6,318,2526,30.381945,75.546798,1.0,1,0.0,1,0,2,3,3040,92.0,0,5,14.0,0,0.0,Sikh Extremists
34473,1995,7,30,0,75,8,181,1365,51.482917,7.211808,1.0,0,0.0,1,0,7,1,1677,209.0,0,8,0.0,1,0.0,Kurdistan Workers' Party (PKK)
23634,1989,11,7,1,45,3,342,1861,4.17871,-74.42302,1.0,0,0.0,1,0,6,1,2266,130.0,0,5,0.0,0,1.0,National Liberation Army of Colombia (ELN)
75784,2016,8,4,0,228,10,45,236,12.825647,44.846416,1.0,0,1.0,1,0,3,3,175,228.0,0,6,0.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
78916,2017,2,12,0,95,10,34,184,36.354145,43.14357,1.0,0,1.0,1,0,3,14,1200,95.0,0,6,1.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
62785,2014,9,15,0,228,10,54,24,16.790182,45.299386,4.0,0,0.0,1,0,3,21,443,228.0,0,6,0.0,1,0.0,Houthi extremists (Ansar Allah)
75207,2016,6,28,0,92,6,122,1612,18.863646,82.876863,1.0,0,0.0,0,0,3,20,6,92.0,0,6,0.0,0,0.0,Maoists
42321,2005,8,20,0,186,6,241,1437,6.874658,79.860483,1.0,0,0.0,0,0,3,10,1746,186.0,0,6,0.0,0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
59138,2014,3,20,0,104,11,76,339,-4.041179,39.677612,1.0,0,0.0,0,0,3,3,373,104.0,0,6,0.0,0,0.0,Al-Shabaab
81207,2017,6,28,0,147,11,100,525,12.26581,13.938675,1.0,0,0.0,1,0,2,14,27,147.0,0,5,5.0,1,0.0,Boko Haram
24596,1990,3,31,0,96,8,179,1194,52.663857,-8.626773,1.0,0,0.0,1,0,6,2,1469,233.0,0,5,0.0,0,1.0,Irish Republican Army (IRA)
62763,2014,9,14,0,147,11,158,965,7.913514,10.064535,1.0,0,0.0,1,0,2,14,560,147.0,0,5,20.0,1,0.0,Fulani extremists
42695,2006,2,2,0,69,8,126,764,42.121236,8.758887,1.0,0,1.0,0,0,3,14,1109,69.0,0,6,0.0,0,0.0,Corsican National Liberation Front (FLNC)
26972,1991,3,27,0,155,10,410,2220,31.907141,35.198219,1.0,1,0.0,1,0,1,14,2609,97.0,0,5,1.0,0,0.0,Palestinians
43189,2006,7,29,0,186,6,206,1473,7.529372,81.794609,1.0,0,0.0,1,0,3,3,1787,186.0,0,6,0.0,-9,0.0,Liberation Tigers of Tamil Eelam (LTTE)
20727,1988,11,18,0,159,3,256,1556,-11.967368,-76.978462,1.0,0,0.0,1,0,3,1,410,159.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
789,1971,12,4,0,603,8,178,1179,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,1438,216.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
35234,1996,4,16,0,45,3,326,24,1.637898,-77.745208,1.0,0,0.0,1,0,3,4,2772,45.0,0,6,31.0,1,0.0,Revolutionary Armed Forces of Colombia (FARC)
59234,2014,3,25,0,95,10,33,187,33.540672,44.251266,1.0,0,0.0,1,1,3,4,12,95.0,0,6,5.0,-9,0.0,Muslim extremists
60545,2014,5,31,0,147,11,100,480,12.342068,14.185827,3.0,0,1.0,1,0,2,14,27,147.0,0,6,14.0,1,0.0,Boko Haram
19089,1988,3,6,0,97,10,242,2239,33.004219,35.092571,1.0,0,0.0,1,0,3,14,2592,97.0,0,6,0.0,1,0.0,Palestinians
16215,1986,9,16,0,145,2,406,2121,11.676334,-84.702872,1.0,0,0.0,1,0,2,4,1249,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
22705,1989,8,13,0,61,2,139,853,13.69288,-89.199161,1.0,0,0.0,1,0,1,2,1267,61.0,0,5,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
67523,2015,5,11,0,228,10,57,1149,13.5,43.966667,1.0,0,0.0,1,0,3,4,1409,228.0,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
71047,2015,11,2,0,4,6,464,2579,33.791877,69.911399,3.0,0,1.0,1,0,2,3,2055,4.0,0,5,16.0,0,0.0,Taliban
13957,1985,6,1,0,145,2,407,2122,13.333325,-85.372013,1.0,0,0.0,1,0,2,4,412,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
37269,1999,3,19,1,45,3,334,2310,10.411301,-74.405661,4.0,0,1.0,1,0,6,1,2740,45.0,0,5,1.0,0,1.0,Revolutionary Armed Forces of Colombia (FARC)
30606,1992,6,27,0,97,10,410,2235,32.246808,35.48904,1.0,0,0.0,0,0,1,14,2581,97.0,0,9,0.0,0,0.0,Palestinians
54878,2013,3,18,0,147,11,107,486,12.023287,8.536534,1.0,0,0.0,1,1,3,19,885,147.0,0,6,39.0,1,0.0,Boko Haram
53051,2012,8,22,0,209,10,210,1395,37.317202,41.792458,3.0,0,0.0,1,0,2,4,93,209.0,0,6,0.0,0,0.0,Kurdistan Workers' Party (PKK)
48252,2010,6,24,1,92,6,120,645,22.577189,87.004942,1.0,0,0.0,1,0,6,14,965,92.0,0,5,0.0,0,1.0,Communist Party of India - Maoist (CPI-Maoist)
29056,1991,11,16,0,155,10,410,2220,31.907141,35.198219,1.0,0,1.0,1,0,7,4,2597,97.0,0,8,0.0,1,0.0,Palestinians
55377,2013,5,7,0,147,11,100,526,11.526846,13.69271,1.0,0,1.0,1,0,2,3,477,147.0,0,5,18.0,1,0.0,Boko Haram
30757,1992,7,19,0,159,3,256,1556,-11.967368,-76.978462,1.0,0,0.0,1,0,7,1,2890,159.0,0,8,0.0,1,0.0,Shining Path (SL)
39937,2002,3,25,0,141,6,246,1603,27.708754,85.329498,1.0,0,0.0,1,0,3,10,2040,141.0,0,6,0.0,1,0.0,Maoists
