,extended,country,region,provstate,city,latitude,longitude,specificity,vicinity,multiple,success,suicide,attacktype1,targtype1,target1,natlty1,individual,weaptype1,nkill,property,ishostkid,gname
25385,0,92,6,365,4862,30.34,76.38,3.0,0,0.0,1,0,2,8,6544,92.0,0,5,8.0,1,0.0,Sikh Extremists
18953,0,61,2,171,1620,13.69288,-89.199161,1.0,0,1.0,1,0,3,21,2708,61.0,0,6,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
35132,0,603,8,57,2269,51.504387,-0.140041,1.0,0,0.0,1,0,3,14,3253,216.0,0,6,0.0,1,0.0,Irish Republican Army (IRA)
78867,0,92,6,152,3033,19.709905,83.365003,1.0,0,0.0,0,0,3,3,85,92.0,0,6,0.0,0,0.0,Maoists
49292,0,228,10,60,515,13.88908,45.870951,2.0,0,0.0,1,0,2,4,1080,228.0,0,5,1.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
19253,0,43,3,301,2939,-33.366238,-70.505302,1.0,0,1.0,1,0,2,19,56,43.0,0,8,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
17495,0,160,5,438,3694,15.544809,120.763556,1.0,0,0.0,1,0,5,14,5036,160.0,0,5,0.0,1,1.0,New People's Army (NPA)
25079,0,92,6,365,4780,30.34,76.38,1.0,0,0.0,1,0,3,15,6423,92.0,0,6,4.0,1,0.0,Sikh Extremists
13510,0,145,2,499,4093,12.984322,-86.963095,1.0,0,0.0,1,0,2,4,2660,145.0,0,5,1.0,1,0.0,Nicaraguan Democratic Force (FDN)
41713,0,173,10,67,475,21.543155,39.174905,1.0,0,0.0,1,0,2,7,1003,217.0,0,6,9.0,-9,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
19051,0,61,2,171,1620,13.69288,-89.199161,1.0,0,1.0,1,0,2,19,56,61.0,0,5,0.0,1,0.0,Farabundo Marti National Liberation Front (FMLN)
56552,0,228,10,61,446,15.325443,44.211895,1.0,0,0.0,1,0,3,4,56,228.0,0,6,6.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
7708,0,603,8,212,2263,54.607712,-5.95621,1.0,0,0.0,1,0,2,3,3113,233.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
55875,0,182,11,80,575,-0.357847,42.54665,1.0,0,0.0,1,0,3,4,402,182.0,0,6,1.0,-9,0.0,Al-Shabaab
21913,0,43,3,301,2939,-33.366238,-70.505302,1.0,0,0.0,1,0,2,3,4165,43.0,0,5,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
13391,0,145,2,499,3592,12.136647,-86.250767,4.0,0,0.0,1,0,2,4,2660,145.0,0,5,23.0,1,0.0,Nicaraguan Democratic Force (FDN)
55418,0,92,6,149,1337,19.143321,81.576095,1.0,0,1.0,1,0,2,16,2211,92.0,0,5,3.0,1,0.0,Communist Party of India - Maoist (CPI-Maoist)
46784,0,160,5,1,22,6.050458,121.012245,1.0,0,0.0,1,0,3,1,13,160.0,0,6,2.0,1,0.0,Abu Sayyaf Group (ASG)
57848,0,160,5,13,3730,8.455393,125.159241,1.0,0,0.0,1,0,2,4,93,160.0,0,5,1.0,-9,0.0,New People's Army (NPA)
7901,0,603,8,212,2263,54.607712,-5.95621,1.0,0,0.0,1,0,1,14,3302,233.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
69532,0,95,10,38,355,33.303566,44.371773,1.0,0,0.0,1,0,3,14,1888,95.0,0,6,2.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
22492,0,186,6,290,2756,6.941837,79.861687,1.0,0,0.0,1,0,1,17,3764,186.0,0,5,2.0,0,0.0,Liberation Tigers of Tamil Eelam (LTTE)
32083,0,45,3,412,3527,7.894195,-72.503885,1.0,0,1.0,0,0,3,20,4807,45.0,0,6,0.0,1,0.0,National Liberation Army of Colombia (ELN)
81146,0,95,10,41,2416,35.415855,43.114769,1.0,0,0.0,1,0,3,14,27,95.0,0,6,3.0,-9,0.0,Islamic State of Iraq and the Levant (ISIL)
16239,0,92,6,365,4841,31.175476,75.931082,1.0,0,0.0,1,0,1,2,6517,92.0,0,5,1.0,0,0.0,Sikh Extremists
19340,0,159,3,537,4621,-12.955214,-74.252729,1.0,0,0.0,1,0,1,2,6318,159.0,0,5,1.0,0,0.0,Shining Path (SL)
64933,0,182,11,78,572,2.059819,45.326115,1.0,0,0.0,1,0,3,8,4610,182.0,0,6,0.0,1,0.0,Muslim extremists
61153,0,182,11,78,572,2.059819,45.326115,1.0,0,1.0,1,0,3,4,402,182.0,0,6,0.0,-9,0.0,Al-Shabaab
13554,0,159,3,307,2951,-11.967368,-76.978462,1.0,0,1.0,1,0,3,9,7249,159.0,0,6,1.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
51620,0,228,10,56,499,12.8,45.033333,2.0,0,0.0,1,0,2,4,20,228.0,0,6,12.0,-9,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
77085,0,228,10,59,489,15.45639,45.324871,1.0,1,0.0,0,0,3,14,1812,228.0,0,6,0.0,-9,0.0,Houthi extremists (Ansar Allah)
14938,0,159,3,307,2951,-11.967368,-76.978462,1.0,0,0.0,1,0,3,1,7233,159.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
50345,0,147,11,128,888,11.829979,12.630177,1.0,0,1.0,1,0,3,3,1861,147.0,0,6,0.0,1,0.0,Boko Haram
76314,0,182,11,78,572,2.059819,45.326115,1.0,0,0.0,1,0,3,2,1301,182.0,0,6,3.0,1,0.0,Al-Shabaab
77403,0,228,10,68,2220,13.599058,43.88771,1.0,0,1.0,1,0,3,14,1327,228.0,0,6,2.0,1,0.0,Houthi extremists (Ansar Allah)
29093,0,159,3,307,2951,-11.967368,-76.978462,1.0,0,0.0,1,0,3,2,7257,159.0,0,6,0.0,1,0.0,Tupac Amaru Revolutionary Movement (MRTA)
40388,0,160,5,11,70,14.67428,121.057495,1.0,0,0.0,1,0,3,19,274,160.0,0,6,3.0,1,0.0,Abu Sayyaf Group (ASG)
35094,0,185,8,99,711,43.258434,-2.921819,1.0,0,0.0,0,0,3,2,586,185.0,0,6,0.0,1,0.0,Basque Fatherland and Freedom (ETA)
18587,0,43,3,301,2939,-33.366238,-70.505302,1.0,0,0.0,1,0,3,14,4182,43.0,0,6,0.0,1,0.0,Manuel Rodriguez Patriotic Front (FPMR)
61127,0,4,6,572,5096,34.108889,69.624444,3.0,0,0.0,1,0,2,3,3460,4.0,0,5,29.0,1,0.0,Taliban
61220,0,95,10,43,2444,35.222231,44.362898,4.0,0,0.0,1,0,3,3,12,95.0,0,6,0.0,0,0.0,Islamic State of Iraq and the Levant (ISIL)
61309,0,228,10,60,491,14.061524,46.914952,3.0,0,0.0,1,0,2,4,330,228.0,0,5,6.0,1,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
49389,0,92,6,155,1191,19.413354,80.00591,1.0,1,0.0,1,0,2,3,2048,92.0,0,9,1.0,0,0.0,Communist Party of India - Maoist (CPI-Maoist)
35654,0,45,3,421,24,6.547306,-71.002231,4.0,0,0.0,0,0,3,21,4819,45.0,0,6,2.0,1,0.0,National Liberation Army of Colombia (ELN)
51150,0,95,10,39,357,33.74324,44.623825,1.0,0,1.0,1,1,3,3,175,95.0,0,6,2.0,-9,0.0,Al-Qaida in Iraq
1567,0,603,8,212,2263,54.607712,-5.95621,1.0,0,0.0,1,0,1,4,3117,216.0,0,5,1.0,0,0.0,Irish Republican Army (IRA)
57299,0,228,10,60,476,13.850725,46.201563,3.0,0,0.0,1,0,2,4,1005,228.0,0,5,4.0,0,0.0,Al-Qaida in the Arabian Peninsula (AQAP)
32787,0,155,10,354,1973,31.502407,34.459743,1.0,1,0.0,0,0,1,14,5616,97.0,0,9,0.0,0,0.0,Palestinians
20139,0,183,11,21,202,-29.861824,31.008293,1.0,0,0.0,1,0,3,2,474,183.0,0,6,0.0,1,0.0,African National Congress (South Africa)
37131,0,160,5,7,15,6.929089,122.07885,1.0,0,0.0,1,0,3,14,279,160.0,0,6,0.0,1,0.0,Abu Sayyaf Group (ASG)
15762,0,145,2,493,4027,13.131923,-86.345742,3.0,0,0.0,1,0,2,2,5423,145.0,0,5,3.0,1,0.0,Nicaraguan Democratic Force (FDN)
59465,0,92,6,152,3121,21.57793,83.476095,1.0,0,0.0,1,0,7,1,2110,92.0,0,8,0.0,1,0.0,Maoists
